FIPS,CountyState,Latitude,Longitude,State,Type,Region,VoteDemocratic2016,VoteRepublican2016,VotesTotal2016,DifferenceVotes2016,PercentageDemocratic2016,PercentageRepublican2016,DemocratOrRepublican,,C Income/Capita,College2014,BlackPercentage,AsianPercentage,HispanicPercentage,ForeignBornPercentage,PovertyPercentage2014,PopulationDensity,LandArea,Obese2013,MedianIncomeHousehold2014
53055,"Ohio County, West Virginia",40.078772,-80.67612,WV,County,Atlantic-S,"5,493","11,139","17,938","5,646",0.31,0.62,0,,23209,0.35,0,0,0.01,0.01,0.19,40.5,647,0.38,36375
53057,"Pendleton County, West Virginia",38.67677,-79.34881,WV,County,Atlantic-S,729,"2,398","3,225","1,669",0.23,0.74,0,,26135,0.55,0.04,0.01,0.01,0.02,0.15,419.3,106,0.31,40195
53059,"Pleasants County, West Virginia",39.37802,-81.17468,WV,County,Atlantic-S,621,"2,358","3,150","1,737",0.2,0.75,0,,21253,0.35,0.02,0,0.01,0,0.19,11.1,696,0.36,38204
53061,"Pocahontas County, West Virginia",38.316071,-79.97721,WV,County,Atlantic-S,928,"2,496","3,646","1,568",0.26,0.68,0,,21312,0.41,0.01,0,0.01,0,0.15,58.5,130,0.39,44801
53063,"Preston County, West Virginia",39.472343,-79.67175,WV,County,Atlantic-S,"2,470","9,538","12,659","7,068",0.2,0.75,0,,20373,0.37,0.01,0,0.01,0,0.19,9.3,940,0.31,34341
53065,"Putnam County, West Virginia",38.491484,-81.92206,WV,County,Atlantic-S,"5,884","17,788","24,893","11,904",0.24,0.71,0,,21457,0.35,0.01,0,0.01,0.01,0.13,51.6,649,0.36,41420
53067,"Raleigh County, West Virginia",37.771342,-81.22827,WV,County,Atlantic-S,"6,443","22,048","29,618","15,605",0.22,0.74,0,,27957,0.53,0.01,0.01,0.01,0.01,0.11,160.4,346,0.35,59472
53069,"Randolph County, West Virginia",38.832061,-79.88149,WV,County,Atlantic-S,"2,735","7,629","10,876","4,894",0.25,0.7,0,,21837,0.43,0.08,0.01,0.01,0.02,0.17,130.3,605,0.36,40270
53071,"Ritchie County, West Virginia",39.199874,-81.06643,WV,County,Atlantic-S,496,"3,405","4,075","2,909",0.12,0.84,0,,19595,0.35,0.01,0,0.01,0,0.16,28.3,1040,0.35,37468
53073,"Roane County, West Virginia",38.71557,-81.3582,WV,County,Atlantic-S,"1,222","3,781","5,247","2,559",0.23,0.72,0,,17843,0.33,0,0,0.01,0,0.21,23.1,452,0.36,46383
53075,"Summers County, West Virginia",37.681263,-80.84601,WV,County,Atlantic-S,"1,190","3,455","4,862","2,265",0.25,0.71,0,,17341,0.29,0,0,0.01,0,0.25,30.8,484,0.36,33041
53077,"Taylor County, West Virginia",39.339603,-80.04146,WV,County,Atlantic-S,"1,491","4,733","6,538","3,242",0.23,0.72,0,,17416,0.39,0.05,0,0.02,0,0.19,38.7,360,0.36,32456
54001,"Tucker County, West Virginia",39.128836,-79.5971,WV,County,Atlantic-S,751,"2,565","3,475","1,814",0.22,0.74,0,,20848,0.39,0.01,0,0.01,0,0.19,97.7,173,0.37,40305
54003,"Tyler County, West Virginia",39.500076,-80.93411,WV,County,Atlantic-S,507,"2,996","3,654","2,489",0.14,0.82,0,,21126,0.36,0,0,0.01,0,0.18,17,419,0.38,36466
54005,"Upshur County, West Virginia",38.948601,-80.23368,WV,County,Atlantic-S,"1,766","7,005","9,218","5,239",0.19,0.76,0,,20704,0.36,0,0,0.01,0,0.2,36,256,0.33,41019
54007,"Wayne County, West Virginia",38.228033,-82.46984,WV,County,Atlantic-S,"3,357","11,152","15,182","7,795",0.22,0.73,0,,19498,0.35,0.01,0,0.01,0.01,0.18,68.3,355,0.38,38387
54009,"Webster County, West Virginia",38.495719,-80.43453,WV,County,Atlantic-S,556,"2,302","2,978","1,746",0.19,0.77,0,,19497,0.38,0,0,0.01,0,0.2,84,506,0.38,37242
54011,"Wetzel County, West Virginia",39.630583,-80.72503,WV,County,Atlantic-S,"1,359","4,519","6,265","3,160",0.22,0.72,0,,17937,0.28,0,0,0,0,0.25,16.6,553,0.35,29331
54013,"Wirt County, West Virginia",39.019107,-81.38457,WV,County,Atlantic-S,386,"1,911","2,422","1,525",0.16,0.79,0,,21653,0.34,0,0,0.01,0.01,0.2,46.3,358,0.33,40013
54015,"Wood County, West Virginia",39.259427,-81.5317,WV,County,Atlantic-S,"8,400","25,434","35,615","17,034",0.24,0.71,0,,21852,0.39,0,0,0.01,0,0.19,24.5,233,0.37,38600
54017,"Wyoming County, West Virginia",37.616766,-81.53977,WV,County,Atlantic-S,"1,062","6,547","7,831","5,485",0.14,0.84,0,,24042,0.52,0.01,0.01,0.01,0.01,0.16,237.6,366,0.36,41932
54019,"Adams County, Wisconsin",43.953427,-89.78558,WV,County,Atlantic-S,"3,745","5,966","10,078","2,221",0.37,0.59,0,,18377,0.29,0.01,0,0.01,0,0.22,47.7,499,0.39,34419
54021,"Ashland County, Wisconsin",46.337524,-90.72189,WI,County,Central-N,"4,226","3,303","7,937",-923,0.53,0.42,1,,22196,0.44,0.03,0.01,0.04,0.04,0.11,32.3,646,0.34,42063
54023,"Barron County, Wisconsin",45.428604,-91.81701,WI,County,Central-N,"7,889","13,614","22,606","5,725",0.35,0.6,0,,21115,0.56,0.01,0,0.02,0.02,0.19,15.5,1045,0.27,41294
