Country,Region-Geo,Continent,Region,Year,Leap Year,ChildrenPerWoman,IncomePerPerson,Infantmortality,LifeExpectancy,Populationtotal,Populationdensity
Afghanistan,Asia - Southern,Asia,South Asia,1952,[1952],7.671,2338.335943,,27.448,8407148,12.893
Albania,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],6.071,4803.168409,,54.876,1269302,44.153
Algeria,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],7.648,7347.024556,,42.678,9140990,3.838
American Samoa,Oceania,Oceania,East Asia & Pacific,1952,[1952],,13799.49386,,,19525,98.116
Andorra,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],,49618.60246,,,7247,15.485
Angola,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],6.98,10561.83082,,29.804,4296534,3.446
Anguilla,America - Central,Central and South America,America,1952,[1952],,11038.55257,,,5438,59.758
Antigua and Barbuda,America - Central,Central and South America,America,1952,[1952],4.496,7661.639427,,58.284,49906,112.91
Argentina,America - South,Central and South America,America,1952,[1952],3.157,17733.94516,65,62.32,17865382,6.425
Armenia,Asia - Western,Asia,Europe & Central Asia,1952,[1952],4.492,4217.465954,,62.602,1419913,47.648
Aruba,America - Central,Central and South America,America,1952,[1952],5.695,8195.001555,,60.01,38966,216.478
Australia,Oceania,Oceania,East Asia & Pacific,1952,[1952],3.181,30118.78691,24.2,69.12,8604679,1.112
Austria,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.061,18411.22948,52,66.8,6929474,82.633
Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1952,[1952],5.505,4322.023901,,57.754,3044695,35.158
Bahamas,America - Central,Central and South America,America,1952,[1952],4.021,14695.80152,,59.824,81426,5.867
Bahrain,Asia - Western,Asia,Middle East & North Africa,1952,[1952],6.973,19734.16953,,42.459,119567,172.287
Bangladesh,Asia - Southern,Asia,South Asia,1952,[1952],6.331,1368.488343,225.4,43.376,40207573,279.223
Barbados,America - Central,Central and South America,America,1952,[1952],4.429,7164.528737,145,56.95,219587,510.667
Belarus,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.595,4831.544286,,65.692,7710974,37.143
Belgium,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.327,16686.21025,45,68,8710135,285.316
Belize,America - Central,Central and South America,America,1952,[1952],6.66,3515.530436,,55.644,73295,3.191
Benin,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],5.829,2125.5044,202.9,33.467,2264492,20.107
Bermuda,America - North,North America,America,1952,[1952],,33933.59479,,,38424,724.981
Bhutan,Asia - Southern,Asia,South Asia,1952,[1952],6.67,1394.793827,,29.331,180287,3.836
Bolivia,America - South,Central and South America,America,1952,[1952],6.748,5354.652694,,40.274,2824538,2.571
Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],4.875,1947.06639,,53.165,2779107,54.283
Botswana,America - South,Africa,Sub-Saharan Africa,1952,[1952],6.492,1702.482281,,47.451,437177,0.752
Brazil,America - South,Central and South America,America,1952,[1952],6.149,4217.88871,,50.763,57422674,6.744
British Virgin Islands,America - Central,Central and South America,America,1952,[1952],,4487.886038,,,7548,49.987
Brunei,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],7.074,73360.07212,,57.54,54083,9.381
Bulgaria,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.552,4888.573296,98,59.6,7324411,66.038
Burkina Faso,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.089,1086.510483,176.2,30.707,4371948,15.956
Burundi,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],6.798,678.5929174,,38.881,2550737,91.641
Cambodia,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],6.946,1761.781752,,40.161,4555803,25.165
Cameroon,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],5.49,2345.33531,,38.358,4634190,9.747
Canada,America - North,North America,America,1952,[1952],3.617,22734.32225,37.1,68.75,14518772,1.456
Cayman Islands,America - Central,Central and South America,America,1952,[1952],,19426.42493,,,6247,23.663
Central African Republic,America - Central,Central and South America,Sub-Saharan Africa,1952,[1952],5.491,2142.621425,,33.233,1353471,
Chad,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],6.09,2357.331854,,35.932,2519184,1.962
Channel Islands,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.042,,,69.09,103614,531.354
Chile,America - South,Central and South America,America,1952,[1952],4.884,7879.957578,138.2,54.669,6321806,8.355
China,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],5.973,1184.03034,,40.405,578489714,60.278
Colombia,America - South,Central and South America,America,1952,[1952],6.759,4288.230192,111,50.157,12697334,11.149
Comoros,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],5.934,2205.981871,,40.553,164338,88.306
Cook Islands,Oceania,Oceania,East Asia & Pacific,1952,[1952],,,125.2,,,66.263
Costa Rica,America - Central,Central and South America,America,1952,[1952],6.677,5254.018942,,56.971,1025278,20.064
Cote d'Ivoire,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.736,2777.189463,,31.858,2793262,8.662
Croatia,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],2.797,6238.47304,,61.024,3900723,68.993
Cuba,America - Central,Central and South America,America,1952,[1952],4.218,11173.07756,38,59.107,6177490,55.723
Cyprus,Asia - Western,Asia,Europe & Central Asia,1952,[1952],3.727,6310.882375,,66.518,506628,54.765
Czech Republic,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.711,13752.2805,,66.87,9036508,
Denmark,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.535,18071.33163,27.9,70.78,4344863,100.823
Djibouti,Africa - Eastern,Africa,Middle East & North Africa,1952,[1952],6.306,5339.058949,,40.853,65022,2.803
Dominica,America - Central,Central and South America,America,1952,[1952],,4487.703174,,,52298,69.638
Dominican Republic,America - Central,Central and South America,America,1952,[1952],7.589,2795.434275,,45.551,2531372,
East Germany,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],,,59,,,
Ecuador,America - South,Central and South America,America,1952,[1952],6.706,7044.221435,,48.065,3566804,12.579
Egypt,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],6.619,2837.64489,,40.579,22607727,22.575
El Salvador,America - Central,Central and South America,America,1952,[1952],6.265,6096.605801,,44.627,2278493,108.288
Equatorial Guinea,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],5.502,751.2862462,,34.333,232759,8.298
Eritrea,Africa - Eastern,Africa,Middle East & North Africa,1952,[1952],6.962,657.8811142,,35.747,1185426,10.08
Eritrea and Ethiopia,Africa - Eastern,Africa,Middle East & North Africa,1952,[1952],,,,,22299701,
Estonia,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.068,8057.970808,,65.085,1126280,24.973
Ethiopia,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],7.201,724.2925592,,33.833,19150885,17.342
Faeroe Islands,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],,,,,31249,22.337
Falkland Islands (Malvinas),Europe - Northern,Europe,America,1952,[1952],,,,,,0.184
Fiji,Oceania,Oceania,East Asia & Pacific,1952,[1952],6.59,3343.012818,78,51.947,304808,16.68
Finland,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],3.06,12849.03814,33,66.55,4095096,12.11
France,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.756,15101.81735,41.3,67.41,42328940,76.752
French Guiana,America - South,Central and South America,America,1952,[1952],5.011,5706.512716,,53.048,26867,0.299
French Polynesia,Oceania,Oceania,East Asia & Pacific,1952,[1952],6.009,15318.89424,,48.281,64335,16.084
Gabon,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],3.969,8586.95295,,36.79,470676,1.758
Gambia,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],5.271,970.4613181,,30.129,277411,24.561
Georgia,Asia - Western,Asia,Europe & Central Asia,1952,[1952],3.011,3479.868593,,60.445,3646426,52.316
Germany,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.111,14288.22879,,67.332,69086530,193.508
Ghana,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.422,1822.597874,143.4,41.917,5229464,21.923
Gibraltar,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],,,,,20769,3461.5
Greece,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],2.291,6538.624264,48,65.617,7725959,58.549
Greenland,America - North,North America,America,1952,[1952],5.96,11041.80605,,,23982,0.011
Grenada,America - Central,Central and South America,America,1952,[1952],5.686,2763.651376,,56.078,77122,224.192
Guadeloupe,America - Central,Central and South America,America,1952,[1952],5.609,5056.530212,,52.94,217331,127.467
Guam,Oceania,Oceania,East Asia & Pacific,1952,[1952],5.493,,,56.879,61068,111.235
Guatemala,America - Central,Central and South America,America,1952,[1952],7.045,4856.475539,,41.845,3333591,30.615
Guernsey,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],,19173.93639,,,45725,
Guinea,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],5.993,1020.392985,,32.946,3181059,12.939
Guinea-Bissau,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],7.589,811.8013011,,,537445,14.877
Guyana,America - South,Central and South America,America,1952,[1952],5.579,5492.212945,98.1,57.161,439117,2.043
Haiti,America - Central,Central and South America,America,1952,[1952],6.299,3680.733879,,37.26,3331968,120.071
Holy See,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],,,,,884,2009.091
Honduras,America - Central,Central and South America,America,1952,[1952],7.496,4389.852407,,41.519,1568190,13.991
Hong Kong China,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],,6108.842419,,,,
Hungary,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.722,10527.34763,70,64.03,9594893,103.135
Iceland,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],3.822,14535.37686,22.9,72.49,148044,1.437
India,Asia - Southern,Asia,South Asia,1952,[1952],5.902,1176.296864,,35.843,384822769,117.065
Indonesia,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],5.463,1499.363309,188.5,37.802,77258010,40.565
Iran,Asia - Southern,Asia,Middle East & North Africa,1952,[1952],6.908,5445.688952,,40.294,18153564,11.014
Iraq,Asia - Western,Asia,Middle East & North Africa,1952,[1952],7.437,7714.621131,213.5,37.217,6092562,13.9
Ireland,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],3.409,10420.56066,42.1,67.2,2923770,41.606
Isle of Man,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],,11305.20221,,,54907,95.991
Israel,Asia - Western,Asia,Middle East & North Africa,1952,[1952],4.322,8173.044257,43,65.128,1451533,65.547
Italy,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],2.366,9862.808311,61,65.94,47171699,156.551
Jamaica,America - Central,Central and South America,America,1952,[1952],4.128,5797.061761,87.4,58.082,1468075,133.571
Japan,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],3.096,6433.912694,49.9,63.03,85174302,225.405
Jersey,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],,,,,58085,
Jordan,Asia - Western,Asia,Middle East & North Africa,1952,[1952],7.39,3093.815615,165.2,46.064,543439,6.083
Kazakhstan,Asia - Central,Asia,Europe & Central Asia,1952,[1952],4.385,7021.849046,,54.859,7041605,2.584
Kenya,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],7.45,1707.081838,169.6,42.074,6412384,11.049
Kiribati,Oceania,Oceania,East Asia & Pacific,1952,[1952],6.02,5380.922998,,43.289,27158,37.408
Kuwait,Asia - Western,Asia,Middle East & North Africa,1952,[1952],7.209,216764.7057,,52.898,174287,9.782
Kyrgyzstan,Asia - Central,Asia,Europe & Central Asia,1952,[1952],4.479,3520.150234,,52.598,1791952,
Latvia,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.004,6198.819828,,61.852,1965231,30.422
Lebanon,Asia - Western,Asia,Middle East & North Africa,1952,[1952],5.741,7989.893702,,60.261,1499688,144.201
Lesotho,Africa - Southern,Africa,Sub-Saharan Africa,1952,[1952],5.837,597.6924241,179.2,41.864,754883,24.868
Liberia,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.264,1151.145992,216.4705951,33.02,940884,8.448
Libya,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],7.25,4775.09612,,36.538,1048211,0.596
Liechtenstein,Europe - Western,Europe,Europe & Central Asia,1952,[1952],,36365.16595,,,14133,88.331
Lithuania,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.712,11169.7845,,64.492,2578052,39.48
Luxembourg,Europe - Western,Europe,Europe & Central Asia,1952,[1952],1.953,28652.27559,,65.761,299060,115.646
Macao  China,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],,4972.281506,,,,
Madagascar,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],7.3,2886.02343,,36.076,4258186,7.254
Malawi,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],6.779,738.3301604,,36.232,2984164,25.186
Malaysia,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],6.226,3662.265789,,54.472,6433126,19.503
Maldives,Asia - Southern,Asia,South Asia,1952,[1952],5.943,953.8508394,,32.887,77940,252.03
Mali,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.465,904.6739615,,26.856,4750451,3.83
Malta,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],4.163,4281.065628,,65.738,313514,992.133
Marshall Islands,Oceania,Oceania,East Asia & Pacific,1952,[1952],,5690.814301,,,13432,74.21
Martinique,America - Central,Central and South America,America,1952,[1952],5.705,6712.238127,,55.228,228328,207.194
Mauritania,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.296,1486.231819,150.5,38.28,688526,0.671
Mauritius,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],5.897,3935.911414,81,49.636,521087,255.435
Mayotte,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],7.91,,,46.677,16468,44.032
Mexico,America - Central,Central and South America,America,1952,[1952],6.687,6956.251058,,50.21,29465877,15.047
Monaco,Europe - Western,Europe,Europe & Central Asia,1952,[1952],,23395.97233,,,19846,13319.463
Mongolia,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],5.537,1573.133715,,42.917,808494,0.516
Montenegro,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],4.052,5295.171203,,59.556,407165,29.479
Montserrat,America - Central,Central and South America,America,1952,[1952],,6989.053111,,,14481,141.971
Morocco,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],6.578,3376.40714,,45.498,9390159,21.028
Mozambique,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],6.6,937.0520761,,31.034,6636035,8.279
Myanmar,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],6.002,1014.637713,,35.513,17786203,26.288
Namibia,Africa - Southern,Africa,Sub-Saharan Africa,1952,[1952],5.99,4847.560886,,41.386,504551,0.612
Nauru,Oceania,Oceania,East Asia & Pacific,1952,[1952],,6510.019241,,,3191,151.952
Nepal,Asia - Southern,Asia,South Asia,1952,[1952],5.993,1091.731446,230.6,35.204,8512546,57.837
Netherlands,Europe - Western,Europe,Europe & Central Asia,1952,[1952],3.09,15128.3374,22.7,72.13,10275906,247.445
Netherlands Antilles,Europe - Western,Europe,America,1952,[1952],5.7,10554.35603,,60.02,116172,145.215
New Caledonia,Oceania,Oceania,East Asia & Pacific,1952,[1952],5.223,20881.80491,,50.343,64453,3.47
New Zealand,Oceania,Oceania,East Asia & Pacific,1952,[1952],3.31918,21113.15131,27.3,69.39,1992618,7.365
Nicaragua,America - Central,Central and South America,America,1952,[1952],7.158,6224.727896,,41.975,1370643,10.543
Niger,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.878,1523.758752,,34.94,2609713,2.06
Nigeria,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.354,1077.281856,,33.818,39203265,42.438
Niue,Oceania,Oceania,East Asia & Pacific,1952,[1952],,,,,4686,18.023
North Korea,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],,,,,,78.468
Northern Mariana Islands,Oceania,Oceania,East Asia & Pacific,1952,[1952],,4599.831287,,,7222,15.565
Norway,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.61,9126.134151,23.7,72.67,3332263,8.652
Oman,Asia - Western,Asia,Middle East & North Africa,1952,[1952],7.252,1828.230307,,35.6,472021,1.525
Pakistan,Asia - Southern,Asia,South Asia,1952,[1952],6.6,684.5971438,255.2,37.838,38809200,48.749
Palau,Oceania,Oceania,East Asia & Pacific,1952,[1952],,10023.43893,,,7620,16.601
Panama,America - Central,Central and South America,America,1952,[1952],5.749,2480.380334,82.1,56.53,903447,11.963
Papua New Guinea,Oceania,Oceania,East Asia & Pacific,1952,[1952],6.236,997.9948459,,34.434,1750891,3.783
Paraguay,America - South,Central and South America,America,1952,[1952],6.499,1952.308701,65.1,62.68,1551186,3.814
Peru,America - South,Central and South America,America,1952,[1952],6.852,3758.523437,174.2,43.674,8020389,6.24
Philippines,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],7.432,1272.880995,93.9,55.262,19748049,65.827
Poland,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],3.648,4029.329699,95,60.828,25919296,80.183
Portugal,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],3.097,3068.319867,94,59.82,8475340,92.141
Puerto Rico,America - Central,Central and South America,America,1952,[1952],4.979,3081.959785,66,63.034,2212854,249.336
Qatar,Asia - Western,Asia,Middle East & North Africa,1952,[1952],6.97,6922.532856,,54.844,29819,2.711
Romania,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],3.342195702,3144.613186,105,60.962,16856828,70.711
Russian Federation,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.848,5180.700203,,64.243,105950299,6.205
Rwanda,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],7.983,493.3238752,,39.849,2187504,83.055
Saint Helena,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],,1661.422609,,,5009,
Saint Kitts and Nevis,America - Central,Central and South America,America,1952,[1952],,2275.58846,,,46509,
Saint Lucia,America - Central,Central and South America,America,1952,[1952],5.886,1516.180463,,52.313,84828,
Saint Vincent and the Grenadines,America - Central,Central and South America,America,1952,[1952],7.324,1743.067579,,50.702,69265,
Saint-Pierre-et-Miquelon,America - North,North America,America,1952,[1952],,,,,4634,
Samoa,Oceania,Oceania,East Asia & Pacific,1952,[1952],7.629,2841.529218,,45.669,86410,30.523
San Marino,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],,10397.34477,,,13089,214.574
Sao Tome and Principe,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],6.202,879.5835855,,46.159,58460,60.643
Saudi Arabia,Asia - Western,Asia,Middle East & North Africa,1952,[1952],7.176,6459.554823,,41.699,3274903,1.523
Senegal,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.544,1450.356983,136.7,35.253,2513702,12.778
Serbia,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],3.272,3581.459448,,58.873,6942216,78.567
Seychelles,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],5.01,4913.363077,81.6,57.852,37451,82.31
Sierra Leone,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],5.744,879.7877358,,28.712,1946495,27.133
Singapore,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],6.62,2315.138227,70,59.818,1120282,1640.237
Slovak Republic,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],3.527,5074.659104,,64.36,3558070,72.565
Slovenia,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],2.61,4215.041741,,65.322,1497673,73.937
Solomon Islands,Oceania,Oceania,East Asia & Pacific,1952,[1952],6.4,1016.106015,,45.135,109424,3.258
Somalia,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],7.25,1135.749842,,33.787,2363736,3.707
South Africa,Africa - Southern,Africa,Sub-Saharan Africa,1952,[1952],6.31,4725.295531,,44.693,14322458,11.73
South Sudan,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],6.645,1624.396805,,27.599,1961925,
Spain,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],2.512,3834.034742,72.8,64.94,28427994,56.183
Sri Lanka,Asia - Southern,Asia,South Asia,1952,[1952],5.8976,1083.53203,89.9,54.106,8495641,129.487
Sudan,Africa - Northern,Africa,Sub-Saharan Africa,1952,[1952],6.652,1615.991129,,44.274,7627408,3.827
Suriname,America - South,Central and South America,America,1952,[1952],6.559,3344.637025,,55.694,229598,1.402
Swaziland,Africa - Southern,Africa,Sub-Saharan Africa,1952,[1952],6.701,1148.376626,155.2,41.209,285333,16.432
Sweden,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.238,9731.445092,20,71.86,7129070,15.844
Switzerland,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.303,14734.23275,29.1,69.62,4788955,116
Taiwan,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],,1468.233225,35,58.5,8550000,
Tajikistan,Asia - Central,Asia,Europe & Central Asia,1952,[1952],5.973,2265.293455,,52.834,1626400,11.365
Thailand,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],6.137,757.7974177,131.7,51.366,21718195,42.326
Timor-Leste,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],6.451,740.0984575,,29.708,443630,29.826
Togo,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.328,859.8086567,185.9,34.963,1442950,25.411
Tokelau,Oceania,Oceania,East Asia & Pacific,1952,[1952],,,,,1504,125.333
Tonga,Oceania,Oceania,East Asia & Pacific,1952,[1952],7.299,1451.509902,,58.467,51173,78.728
Trinidad and Tobago,America - Central,Central and South America,America,1952,[1952],5.294,3023.271928,73.37302132,57.592,661131,128.875
Tunisia,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],6.73,1468.475631,,38.611,3661847,22.382
Turkey,Asia - Western,Asia,Europe & Central Asia,1952,[1952],6.636,2376.314083,167.14,40.758,22519048,28.739
Turkmenistan,Asia - Central,Asia,Europe & Central Asia,1952,[1952],6.004,3309.857704,,51.073,1252660,2.566
Turks and Caicos Islands,America - Central,Central and South America,America,1952,[1952],,3395.530348,,,4977,11.574
Tuvalu,Oceania,Oceania,East Asia & Pacific,1952,[1952],,1965.47671,,,5294,203.615
Uganda,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],6.896,734.753484,,39.738,5453244,22.624
Ukraine,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.814,3216.562643,,65.579,38410561,63.625
United Arab Emirates,Asia - Western,Asia,Middle East & North Africa,1952,[1952],6.968,4315.820359,,43.248,69504,0.831
United Kingdom,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.148,9979.508487,29,69.6,50706811,208.756
United States of America,America - North,North America,America,1952,[1952],3.302,17039.3819,30.7,68.44,162530196,16.879
Uruguay,America - South,Central and South America,America,1952,[1952],2.72,5716.766744,51,66.007,2285906,13.061
Uzbekistan,Asia - Central,Asia,Europe & Central Asia,1952,[1952],5.912,1187.740041,,55.548,6633911,14.828
Vanuatu,Oceania,Oceania,East Asia & Pacific,1952,[1952],7.623,1779.7189,123.8,41.643,50295,4.126
Venezuela,America - South,Central and South America,America,1952,[1952],6.46,7689.799761,80.7,54.897,5504783,6.036
Vietnam,Asia - Southern,Asia,East Asia & Pacific,1952,[1952],5.313,605.0664917,,53.129,29403860,88.649
Wallis et Futuna,Oceania,Oceania,East Asia & Pacific,1952,[1952],,1727.561757,,,7238,36.19
West Bank and Gaza Strip,Asia - Western,Asia,Middle East & North Africa,1952,[1952],7.39,1515.592329,,46.418,931889,154.799
Western Sahara,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],6.334,,,35.331,17591,0.066
Yemen,Asia - Western,Asia,Middle East & North Africa,1952,[1952],,,,,,
Zambia,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],6.737,1147.388831,,41.863,2456377,3.264
Zimbabwe,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],6.781,406.8841148,,48.331,2918424,7.469
Afghanistan,Asia - Southern,Asia,South Asia,1956,[1956],7.671,2511.200806,,29.511,8986449,13.781
Albania,Europe - Southern,Europe,Europe & Central Asia,1956,[1956],6.398,5475.907462,,57.947,1421417,49.444
Algeria,Africa - Northern,Africa,Middle East & North Africa,1956,[1956],7.648,8293.270886,148.2,44.345,9924347,4.167
American Samoa,Oceania,Oceania,East Asia & Pacific,1956,[1956],,14644.54492,,,19640,98.693
Andorra,Europe - Southern,Europe,Europe & Central Asia,1956,[1956],,57610.15895,,,9964,21.291
Angola,Africa - Central,Africa,Sub-Saharan Africa,1956,[1956],7.142,10647.10603,,31.396,4624143,3.709
Anguilla,America - Central,Central and South America,America,1956,[1956],,12161.14124,,,5743,63.11
Antigua and Barbuda,America - Central,Central and South America,America,1956,[1956],4.528,8440.805856,,60.243,53061,120.048
Argentina,America - South,Central and South America,America,1956,[1956],3.136,19890.1032,57,64.11,19276813,6.933
Armenia,Asia - Western,Asia,Europe & Central Asia,1956,[1956],4.506,5076.045308,,64.285,1619242,54.337
Aruba,America - Central,Central and South America,America,1956,[1956],5.334,9028.40936,,63.424,45935,255.194
Australia,Oceania,Oceania,East Asia & Pacific,1956,[1956],3.33,32922.3851,22.1,70.05,9419635,1.217
Austria,Europe - Western,Europe,Europe & Central Asia,1956,[1956],2.486,25045.34839,45.1,67.72,6954658,82.934
Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1956,[1956],5.403,5229.074915,,59.394,3429548,39.602
Bahamas,America - Central,Central and South America,America,1956,[1956],4.248,20055.89966,,61.434,91890,6.621
Bahrain,Asia - Western,Asia,Middle East & North Africa,1956,[1956],6.95,22616.61272,189.1,46.675,138929,200.186
Bangladesh,Asia - Southern,Asia,South Asia,1956,[1956],6.555,1375.721708,197.2,44.984,44644395,310.035
Barbados,America - Central,Central and South America,America,1956,[1956],4.327,8730.798327,103.5,59.062,228265,530.849
Belarus,Europe - Eastern,Europe,Europe & Central Asia,1956,[1956],2.716,5852.267174,,67.357,7865511,37.888
Belgium,Europe - Western,Europe,Europe & Central Asia,1956,[1956],2.454,19058.80719,37.4,68.87,8922420,292.27
Belize,America - Central,Central and South America,America,1956,[1956],6.58,3624.531355,,57.829,82294,3.583
Benin,Africa - Western,Africa,Sub-Saharan Africa,1956,[1956],6.05,1960.126952,198.9,35.424,2320433,20.604
Bermuda,America - North,North America,America,1956,[1956],,42149.553,,,41426,781.623
Bhutan,Asia - Southern,Asia,South Asia,1956,[1956],6.67,1452.094549,,30.823,203054,4.32
Bolivia,America - South,Central and South America,America,1956,[1956],6.765,4498.372182,,41.447,3073070,2.797
Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1956,[1956],4.434,2341.515806,,57.2,2994194,58.484
Botswana,America - South,Africa,Sub-Saharan Africa,1956,[1956],6.553,1811.816667,130.5,49.09,479998,0.825
Brazil,America - South,Central and South America,America,1956,[1956],6.157,4753.002521,146.9,52.725,64748101,7.605
British Virgin Islands,America - Central,Central and South America,America,1956,[1956],,4889.404857,,,7706,51.033
Brunei,Asia - South Eastern,Asia,East Asia & Pacific,1956,[1956],6.466,78078.87084,,59.989,66348,11.509
Bulgaria,Europe - Eastern,Europe,Europe & Central Asia,1956,[1956],2.346,5494.755859,72,65.21,7568951,68.243
Burkina Faso,Africa - Western,Africa,Sub-Saharan Africa,1956,[1956],6.205,1203.975764,169.1,32.591,4597951,16.781
